20: Number of Connected-Weighted-Undirected-Graphs.

** G0: |V|=5
(u, v, weight) E = { 
      ( 0,  1, 38.373)
      ( 1,  2, 18.887)
      ( 1,  3, 40.737)
      ( 2,  4,  3.917) } |E|=4 
---------------- 

** G1: |V|=5
(u, v, weight) E = { 
      ( 0,  1, 68.855)
      ( 0,  3, 49.197)
      ( 1,  2, 84.924)
      ( 2,  3, 48.938)
      ( 2,  4, 84.903)
      ( 3,  4, 60.479) } |E|=6 
---------------- 

** G2: |V|=10
(u, v, weight) E = { 
      ( 0,  1, 22.847)
      ( 0,  6, 58.167)
      ( 0,  9, 14.193)
      ( 1,  2,  2.971)
      ( 1,  3,  0.926)
      ( 1,  4, 48.463)
      ( 1,  5, 99.713)
      ( 1,  7,  7.394)
      ( 2,  8, 72.192) } |E|=9 
---------------- 

** G3: |V|=10
(u, v, weight) E = { 
      ( 0,  1, 77.775)
      ( 0,  3, 97.215)
      ( 0,  4, 22.122)
      ( 0,  7, 42.682)
      ( 1,  2, 39.716)
      ( 1,  6, 83.871)
      ( 1,  7, 10.840)
      ( 1,  9, 30.640)
      ( 3,  4, 63.551)
      ( 3,  5,  4.708)
      ( 3,  6, 89.911)
      ( 3,  9, 84.841)
      ( 4,  5, 44.396)
      ( 4,  7, 65.071)
      ( 4,  8, 72.264)
      ( 6,  8, 82.942)
      ( 7,  8, 39.297)
      ( 7,  9, 38.163) } |E|=18 
---------------- 

** G4: |V|=15
(u, v, weight) E = { 
      ( 0,  1, 95.658)
      ( 0,  2, 26.710)
      ( 0,  6, 16.809)
      ( 0,  9,  9.875)
      ( 1,  3,  1.255)
      ( 1,  4, 69.827)
      ( 1,  8, 97.037)
      ( 1, 13, 32.339)
      ( 2,  7, 42.585)
      ( 2, 13, 61.893)
      ( 3,  5, 60.587)
      ( 3,  9, 25.230)
      ( 3, 11, 72.242)
      ( 3, 12, 37.316)
      ( 5, 12,  8.032)
      ( 6,  7, 31.420)
      ( 6, 11, 48.249)
      ( 6, 14, 49.449)
      ( 7,  8, 86.950)
      ( 7, 12, 96.535)
      ( 8,  9, 84.126)
      ( 8, 11, 97.027)
      ( 9, 10, 67.966)
      ( 9, 12, 49.038)
      ( 9, 13, 84.959)
      (11, 12, 49.944) } |E|=26 
---------------- 

** G5: |V|=15
(u, v, weight) E = { 
      ( 0,  1, 30.509)
      ( 0,  2, 72.211)
      ( 0,  4, 51.930)
      ( 0,  6, 15.073)
      ( 0,  9, 68.933)
      ( 1,  3, 90.673)
      ( 1,  4, 47.069)
      ( 2,  5,  0.263)
      ( 2,  7, 41.661)
      ( 2, 11, 99.706)
      ( 3, 10, 69.194)
      ( 3, 11, 43.439)
      ( 4,  8, 90.717)
      ( 4,  9, 71.281)
      ( 4, 13, 27.419)
      ( 5,  7, 69.352)
      ( 5, 11, 39.389)
      ( 5, 13, 59.166)
      ( 6, 12, 47.177)
      ( 7, 10, 42.701)
      ( 7, 12, 55.417)
      ( 8, 10, 37.227)
      ( 9, 10, 49.544)
      (10, 11, 63.980)
      (13, 14, 66.204) } |E|=25 
---------------- 

** G6: |V|=20
(u, v, weight) E = { 
      ( 0,  1, 28.043)
      ( 0,  2,  0.821)
      ( 0,  3, 52.621)
      ( 0,  7, 17.681)
      ( 0, 12, 73.125)
      ( 0, 13, 94.121)
      ( 0, 14, 93.050)
      ( 0, 15, 71.902)
      ( 0, 16, 52.038)
      ( 0, 17, 29.247)
      ( 1,  8, 79.149)
      ( 1, 14, 96.501)
      ( 1, 16,  9.702)
      ( 1, 17, 90.066)
      ( 2,  3, 16.612)
      ( 2,  4, 29.535)
      ( 2,  7,  4.680)
      ( 2,  8, 80.542)
      ( 2,  9, 77.395)
      ( 2, 11,  8.258)
      ( 2, 12, 81.818)
      ( 2, 17, 25.136)
      ( 2, 19, 54.911)
      ( 3,  4, 54.213)
      ( 3,  5, 32.861)
      ( 3,  9, 93.501)
      ( 3, 12, 71.500)
      ( 3, 14, 91.497)
      ( 3, 16, 22.941)
      ( 4,  7, 11.554)
      ( 4, 17, 35.238)
      ( 5,  6, 11.927)
      ( 5, 15, 64.250)
      ( 6,  8,  8.911)
      ( 6, 15, 30.565)
      ( 6, 16, 34.627)
      ( 6, 17,  4.882)
      ( 6, 18, 72.863)
      ( 7, 10, 82.645)
      ( 7, 13, 80.344)
      ( 8, 13, 13.983)
      ( 8, 14, 39.870)
      ( 9, 12, 99.995)
      ( 9, 15, 84.158)
      ( 9, 19, 63.853)
      (10, 11, 46.513)
      (10, 12, 86.536)
      (10, 14,  4.445)
      (11, 12, 21.367)
      (11, 17, 19.918)
      (11, 18, 85.794)
      (11, 19, 43.431)
      (12, 16, 29.328)
      (12, 18, 49.624)
      (14, 16, 26.674)
      (14, 19, 53.817)
      (15, 17, 67.190)
      (16, 17,  1.948)
      (16, 18, 79.096)
      (17, 18, 20.822)
      (17, 19, 78.557) } |E|=61 
---------------- 

** G7: |V|=20
(u, v, weight) E = { 
      ( 0,  1, 56.005)
      ( 0,  2, 38.897)
      ( 0,  5, 93.109)
      ( 0,  9, 15.605)
      ( 0, 11, 41.535)
      ( 0, 15, 72.134)
      ( 0, 17, 36.125)
      ( 1,  6, 91.284)
      ( 1,  9, 61.765)
      ( 1, 11, 38.644)
      ( 1, 16, 45.929)
      ( 1, 18,  4.931)
      ( 2,  3, 53.684)
      ( 2,  4, 81.593)
      ( 2,  5, 82.424)
      ( 2,  8, 34.908)
      ( 2, 13, 68.152)
      ( 2, 17, 93.576)
      ( 2, 19, 55.510)
      ( 3,  6, 34.590)
      ( 3,  8, 49.779)
      ( 3,  9, 14.668)
      ( 3, 12, 71.948)
      ( 3, 14, 82.066)
      ( 3, 15, 85.706)
      ( 4,  7, 11.895)
      ( 4, 13, 38.633)
      ( 5,  6,  0.566)
      ( 5,  9, 28.798)
      ( 5, 19, 43.501)
      ( 6,  7, 74.443)
      ( 6, 10, 83.528)
      ( 6, 15, 54.196)
      ( 6, 17, 71.786)
      ( 6, 19, 71.708)
      ( 7, 10, 51.541)
      ( 7, 13, 49.423)
      ( 7, 15, 39.215)
      ( 7, 19, 44.264)
      ( 8, 11, 91.406)
      ( 8, 12, 84.726)
      ( 8, 14, 30.077)
      ( 8, 15, 89.505)
      ( 8, 16, 73.681)
      ( 9, 10, 42.516)
      ( 9, 11, 56.968)
      ( 9, 16, 89.268)
      ( 9, 18, 50.283)
      ( 9, 19,  6.727)
      (10, 12, 82.818)
      (10, 15, 22.841)
      (10, 16,  5.214)
      (10, 18, 93.782)
      (10, 19, 52.011)
      (11, 15, 41.020)
      (11, 19, 69.989)
      (12, 13, 11.208)
      (12, 15, 85.666)
      (12, 19, 39.615)
      (14, 15, 23.744)
      (14, 19, 31.070)
      (15, 16, 20.026)
      (16, 18, 70.684) } |E|=63 
---------------- 

** G8: |V|=25
(u, v, weight) E = { 
      ( 0,  1,  5.107)
      ( 0,  2, 89.012)
      ( 0,  3, 40.751)
      ( 0,  4, 16.445)
      ( 0, 11, 86.588)
      ( 0, 14, 94.292)
      ( 0, 18, 98.909)
      ( 1,  7, 27.998)
      ( 1, 11, 20.011)
      ( 1, 12, 83.130)
      ( 1, 17, 58.724)
      ( 1, 20, 85.238)
      ( 1, 21, 42.292)
      ( 2, 13, 96.737)
      ( 2, 18, 14.010)
      ( 2, 21,  7.893)
      ( 3,  6, 75.538)
      ( 3,  8, 20.682)
      ( 3,  9, 80.603)
      ( 3, 14, 59.746)
      ( 3, 18, 34.711)
