30: Number of 30-Weighted-Directed-Graphs.

** G0: |V|=5
(u, v, weight) E = { 
      ( 0,  1, 74.978)
      ( 0,  2, 16.742)
      ( 0,  3, 26.450)
      ( 1,  0, 37.628)
      ( 1,  2, 12.084)
      ( 2,  0, 56.821)
      ( 2,  1,  7.074)
      ( 2,  3, 81.804)
      ( 3,  0,  3.445)
      ( 3,  1, 23.731)
      ( 3,  2, 85.057)
      ( 3,  4, 21.989)
      ( 4,  0, 94.884)
      ( 4,  3, 96.442) } |E|=14 
---------------- 

** G1: |V|=5
(u, v, weight) E = { 
      ( 0,  1, 18.172)
      ( 0,  2, 99.084)
      ( 1,  0, 64.104)
      ( 1,  2, 46.670)
      ( 2,  4, 22.254)
      ( 3,  2, 49.839)
      ( 3,  4, 22.175)
      ( 4,  0, 23.568)
      ( 4,  3, 32.756) } |E|=9
---------------- 

** G2: |V|=10
(u, v, weight) E = { 
      ( 0,  1, 81.591)
      ( 0,  4, 82.366)
      ( 0,  5, 46.612)
      ( 0,  7, 63.624)
      ( 0,  8, 81.063)
      ( 1,  0,  3.334)
      ( 1,  3, 55.458)
      ( 1,  6, 34.997)
      ( 1,  7, 47.061)
      ( 1,  9, 46.487)
      ( 2,  1, 54.217)
      ( 2,  3, 73.445)
      ( 3,  2, 84.799)
      ( 3,  4, 27.813)
      ( 3,  5, 65.749)
      ( 3,  9, 89.704)
      ( 4,  0, 47.818)
      ( 4,  1, 79.845)
      ( 4,  2, 21.646)
      ( 4,  5, 47.650)
      ( 4,  6, 71.949)
      ( 4,  7, 31.548)
      ( 4,  8, 19.616)
      ( 4,  9, 64.330)
      ( 5,  0, 86.071)
      ( 5,  1, 70.212)
      ( 5,  3, 55.308)
      ( 5,  9, 77.861)
      ( 6,  0, 88.615)
      ( 6,  1, 62.823)
      ( 6,  5, 80.040)
      ( 6,  7, 14.887)
      ( 6,  8, 56.536)
      ( 6,  9, 22.292)
      ( 7,  1, 57.131)
      ( 7,  3, 46.922)
      ( 7,  6, 46.455)
      ( 8,  3, 89.947)
      ( 8,  7, 41.171)
      ( 9,  1, 22.463)
      ( 9,  2, 20.341)
      ( 9,  3, 36.622)
      ( 9,  4, 95.770)
      ( 9,  5, 99.428)
      ( 9,  7, 99.826) } |E|=45 
---------------- 

** G3: |V|=10
(u, v, weight) E = { 
      ( 0,  1, 46.895)
      ( 0,  2, 81.056)
      ( 0,  3, 25.636)
      ( 0,  4, 13.402)
      ( 0,  5, 28.521)
      ( 0,  7, 15.665)
      ( 0,  8, 23.930)
      ( 0,  9, 72.199)
      ( 1,  2, 26.380)
      ( 1,  3, 46.155)
      ( 1,  4, 67.456)
      ( 1,  6,  5.933)
      ( 1,  7, 14.131)
      ( 2,  0, 16.501)
      ( 2,  5, 90.532)
      ( 2,  8, 14.453)
      ( 2,  9,  0.565)
      ( 3,  0, 99.796)
      ( 3,  1, 12.222)
      ( 3,  9, 39.584)
      ( 4,  0, 17.233)
      ( 4,  1, 38.057)
      ( 4,  2, 40.286)
      ( 4,  3, 45.785)
      ( 4,  5, 86.725)
      ( 4,  7, 20.614)
      ( 4,  8, 49.145)
      ( 4,  9, 57.087)
      ( 5,  0, 16.211)
      ( 5,  2, 70.368)
      ( 5,  4, 43.989)
      ( 5,  8, 78.433)
      ( 5,  9, 62.686)
      ( 6,  0, 72.054)
      ( 6,  2, 23.038)
